dgms_id,ms_name,procsm_id,biosample_id
nmdc:dgms-12-tn562w62,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_15LM_BESC-234-Clat-LM_1_Rg70to1050-CE102040-leaf-S1_Run105,nmdc:procsm-11-h7235w05,nmdc:bsm-11-nr7vje40
nmdc:dgms-12-afmhe265,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_15RM_BESC-234-Clat-RM_1_Rg70to1050-CE102040-root-S1_Run731,nmdc:procsm-11-n0bbks47,nmdc:bsm-11-69g1rw32
nmdc:dgms-12-2bgqsj28,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_15RZM_BESC-234-Clat-RZM_1_Rg70to1050-CE102040-rhizo-S1_Run363,nmdc:procsm-11-kyr5kd41,nmdc:bsm-11-b3d5yg81
nmdc:dgms-12-16bzn730,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_16LM_BESC-234-Clat-LM_2_Rg70to1050-CE102040-leaf-S1_Run184,nmdc:procsm-11-hjj7aq43,nmdc:bsm-11-c756vg97
nmdc:dgms-12-7t9q9k70,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_16RM_BESC-234-Clat-RM_2_Rg70to1050-CE102040-root-S1_Run850,nmdc:procsm-11-wmgsh423,nmdc:bsm-11-vp7n5531
nmdc:dgms-12-m115dq67,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_16RZM_BESC-234-Clat-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run485,nmdc:procsm-11-14x7s586,nmdc:bsm-11-aztxt406
nmdc:dgms-12-sx6r0m79,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_17LM_BESC-234-Corv-LM_1_Rg70to1050-CE102040-leaf-S1_Run71,nmdc:procsm-11-qnraw047,nmdc:bsm-11-s70cv630
nmdc:dgms-12-qkvpdp63,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_17RM_BESC-234-Corv-RM_1_Rg70to1050-CE102040-root-S1_Run774,nmdc:procsm-11-zbfvz433,nmdc:bsm-11-62fxv990
nmdc:dgms-12-p2c5rk96,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_17RZM_BESC-234-Corv-RZM_1_Rg70to1050-CE102040-rhizo-S1_Run345,nmdc:procsm-11-k7habn11,nmdc:bsm-11-v0hqhp22
nmdc:dgms-12-c6p0ea70,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_18LM_BESC-234-Corv-LM_2_Rg70to1050-CE102040-leaf-S1_Run117,nmdc:procsm-11-65fav813,nmdc:bsm-11-fyey4107
nmdc:dgms-12-3rdv5t13,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_18RM_BESC-234-Corv-RM_2_Rg70to1050-CE102040-root-S1_Run892,nmdc:procsm-11-erbb8g74,nmdc:bsm-11-dtyb1w45
nmdc:dgms-12-z6t9pd08,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_18RZM_BESC-234-Corv-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run482,nmdc:procsm-11-qf8zex56,nmdc:bsm-11-d1h1d248
nmdc:dgms-12-cmt7y498,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_19LM_BESC-234-Corv-LM_3_Rg70to1050-CE205060-leaf-S1_Run272,nmdc:procsm-11-fgkvce14,nmdc:bsm-11-djqze645
nmdc:dgms-12-fxg54v31,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_19RM_BESC-234-Corv-RM_3_Rg70to1050-CE205060-root-S1_Run981,nmdc:procsm-11-0x9q7r54,nmdc:bsm-11-qvm0vt03
nmdc:dgms-12-9rmh9092,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_19RZM_BESC-234-Corv-RZM_3_Rg70to1050-CE205060-rhizo-S1_Run661,nmdc:procsm-11-7x2zvn03,nmdc:bsm-11-da01b330
nmdc:dgms-12-gq95y650,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_1LM_BESC-13-Clat-LM_1_Rg70to1050-CE102040-leaf-S1_Run44,nmdc:procsm-11-2fka8b94,nmdc:bsm-11-p9j7rw40
nmdc:dgms-12-s6zgv607,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_1RM_BESC-13-Clat-RM_1_Rg70to1050-CE102040-root-S1_Run804,nmdc:procsm-11-cea3xm38,nmdc:bsm-11-g4rxzh95
nmdc:dgms-12-2n32jw86,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_1RZM_BESC-13-Clat-RZM_1_Rg70to1050-CE102040-rhizo-S1_Run351,nmdc:procsm-11-hhezqf68,nmdc:bsm-11-vnkf4228
nmdc:dgms-12-99ckfc61,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_20LM_BESC-258-Clat-LM_1_Rg70to1050-CE102040-leaf-S1_Run41,nmdc:procsm-11-2wy7dv24,nmdc:bsm-11-qy2fef59
nmdc:dgms-12-gd1twg50,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_20RM_BESC-258-Clat-RM_1_Rg70to1050-CE102040-root-S1_Run780,nmdc:procsm-11-cmrh8688,nmdc:bsm-11-nx7zwq61
nmdc:dgms-12-n3mc8z94,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_20RZM_BESC-258-Clat-RZM_1_Rg70to1050-CE102040-rhizo-S1_Run397,nmdc:procsm-11-7jdwcp02,nmdc:bsm-11-yxxvqg27
nmdc:dgms-12-57dgpr02,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_21LM_BESC-258-Clat-LM_2_Rg70to1050-CE102040-leaf-S1_Run208,nmdc:procsm-11-dxzj2j09,nmdc:bsm-11-wnrp0p76
nmdc:dgms-12-628rqk03,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_21RM_BESC-258-Clat-RM_2_Rg70to1050-CE102040-root-S1_Run856,nmdc:procsm-11-zggj4n19,nmdc:bsm-11-wh35sj59
nmdc:dgms-12-k9m0m471,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_21RZM_BESC-258-Clat-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run518,nmdc:procsm-11-sfkxwc81,nmdc:bsm-11-8ah8pz02
nmdc:dgms-12-a6y6x630,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_22LM_BESC-285-Clat-LM_1_Rg70to1050-CE102040-leaf-S1_Run47,nmdc:procsm-11-n9kgzs04,nmdc:bsm-11-zf5qxz83
nmdc:dgms-12-b7b0vh26,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_22RM_BESC-285-Clat-RM_1_Rg70to1050-CE102040-root-S1_Run762,nmdc:procsm-11-qe49sb92,nmdc:bsm-11-42c9kj17
nmdc:dgms-12-sr5g9b89,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_22RZM_BESC-285-Clat-RZM_1_Rg70to1050-CE102040-rhizo-S1_Run442,nmdc:procsm-11-e7xqd722,nmdc:bsm-11-18btad96
nmdc:dgms-12-405vhf64,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_23LM_BESC-285-Clat-LM_2_Rg70to1050-CE102040-leaf-S1_Run190,nmdc:procsm-11-xxbzpe55,nmdc:bsm-11-th3sr643
nmdc:dgms-12-xrr7z033,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_23RM_BESC-285-Clat-RM_2_Rg70to1050-CE102040-root-S1_Run889,nmdc:procsm-11-rdambc96,nmdc:bsm-11-m4p1ck60
nmdc:dgms-12-ta2qk258,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_23RZM_BESC-285-Clat-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run458,nmdc:procsm-11-gvxth280,nmdc:bsm-11-2a37n046
nmdc:dgms-12-zax8ke60,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_24LM_BESC-307-Clat-LM_1_Rg70to1050-CE102040-leaf-S1_Run80,nmdc:procsm-11-1rfs4g74,nmdc:bsm-11-z75j2v52
nmdc:dgms-12-22kj6z37,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_24RM_BESC-307-Clat-RM_1_Rg70to1050-CE102040-root-S1_Run728,nmdc:procsm-11-f852yb84,nmdc:bsm-11-1yvac190
nmdc:dgms-12-zwwepk56,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_24RZM_BESC-307-Clat-RZM_1_Rg70to1050-CE102040-rhizo-S1_Run378,nmdc:procsm-11-x7ttp173,nmdc:bsm-11-5snc2s56
nmdc:dgms-12-9fhnkz40,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_25RM_BESC-307-Clat-RM_2_Rg70to1050-CE102040-root-S1_Run853,nmdc:procsm-11-evs47h63,nmdc:bsm-11-acfvxq24
nmdc:dgms-12-caeh8h83,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_25RZM_BESC-307-Clat-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run546,nmdc:procsm-11-0tszth07,nmdc:bsm-11-vc1cgz17
nmdc:dgms-12-2c7bh253,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_26LM_BESC-307-Corv-LM_1_Rg70to1050-CE102040-leaf-S1_Run83,nmdc:procsm-11-gbd5n976,nmdc:bsm-11-6z11g163
nmdc:dgms-12-zedgmm42,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_26RM_BESC-307-Corv-RM_1_Rg70to1050-CE102040-root-S1_Run737,nmdc:procsm-11-pwattr82,nmdc:bsm-11-gwx12029
nmdc:dgms-12-1tybq661,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_26RZM_BESC-307-Corv-RZM_1_Rg70to1050-CE102040-rhizo-S1_Run394,nmdc:procsm-11-ywfmwp22,nmdc:bsm-11-6ntzv433
nmdc:dgms-12-nkvk8k56,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_27LM_BESC-307-Corv-LM_2_Rg70to1050-CE102040-leaf-S1_Run156,nmdc:procsm-11-2603sk66,nmdc:bsm-11-j1hqcz15
nmdc:dgms-12-vr8vf363,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_27RM_BESC-307-Corv-RM_2_Rg70to1050-CE102040-root-S1_Run865,nmdc:procsm-11-8fjtyd22,nmdc:bsm-11-jy6ece20
nmdc:dgms-12-k6dz2q82,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_27RZM_BESC-307-Corv-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run537,nmdc:procsm-11-b634z183,nmdc:bsm-11-arjq1c41
nmdc:dgms-12-njyhkm83,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_28LM_BESC-307-Corv-LM_3_Rg70to1050-CE205060-leaf-S1_Run269,nmdc:procsm-11-wbgzs591,nmdc:bsm-11-pgxc4f08
nmdc:dgms-12-qgn5n002,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_28RM_BESC-307-Corv-RM_3_Rg70to1050-CE205060-root-S1_Run1011,nmdc:procsm-11-q305be20,nmdc:bsm-11-t7xb8h63
nmdc:dgms-12-55qx3e35,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_28RZM_BESC-307-Corv-RZM_3_Rg70to1050-CE205060-rhizo-S1_Run597,nmdc:procsm-11-d3q41d96,nmdc:bsm-11-rtchk112
nmdc:dgms-12-1p7pd997,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_29LM_BESC-331-Clat-LM_2_Rg70to1050-CE102040-leaf-S1_Run126,nmdc:procsm-11-ykm5gm65,nmdc:bsm-11-trpbtt49
nmdc:dgms-12-8jgyg304,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_29RM_BESC-331-Clat-RM_2_Rg70to1050-CE102040-root-S1_Run905,nmdc:procsm-11-a6avr411,nmdc:bsm-11-8g7xbe66
nmdc:dgms-12-y1zhmy80,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_29RZM_BESC-331-Clat-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run540,nmdc:procsm-11-xn21qt76,nmdc:bsm-11-2g6d7w97
nmdc:dgms-12-jf2d0363,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_2LM_BESC-13-Clat-LM_2_Rg70to1050-CE102040-leaf-S1_Run196,nmdc:procsm-11-rhm0bk97,nmdc:bsm-11-nwh9ez71
nmdc:dgms-12-2ecr7a87,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_2RM_BESC-13-Clat-RM_2_Rg70to1050-CE102040-root-S1_Run841,nmdc:procsm-11-tgmztq55,nmdc:bsm-11-b7pv2a25
