mg_feature,n_metabolites,n_relationships,mean_importance,max_importance,mean_abs_corr,max_abs_corr
Acidisphaera sp. G45-3,3,3,0.0556322562841235,0.1024499982595443,0.5775776112027526,0.6475198709261807
Bradyrhizobium lablabi,3,3,0.014490862028236665,0.0216345265507698,0.5667114893697778,0.6405312661140019
Thermobifida fusca,3,3,0.0129476765158678,0.0219229218494559,0.5496617030868872,0.6391408762822753
Enterobacter ludwigii,3,3,0.012776120388818235,0.0173564553260803,0.5983068399874907,0.6192117042810521
Streptomyces cattleya,3,3,0.013853456566078566,0.0295575972337207,0.48754059705882535,0.5993569179285679
Streptomyces globosus,3,3,0.007720045280074767,0.0081094404910792,0.5245290450985387,0.5943050459641356
Micromonospora inositola,3,3,0.008636611949831468,0.0130145817211342,0.5320448178481735,0.5799512748770174
Streptomyces autolyticus,3,3,0.006148715334381167,0.0069849176585334,0.48048102964483846,0.5509525869089795
Pseudomonas sp. DY-1,3,3,0.02572227395037713,0.0540977614435526,0.5086698023807891,0.5503032367149109
Planctomyces sp. SH-PL62,3,3,0.0110355582279794,0.0125525314360857,0.4965769979071499,0.5455300584991045
Pseudomonas entomophila,3,3,0.022599632080504865,0.0466437847498346,0.5153036190013254,0.5434629628649332
Rhodococcus sp. p52,3,3,0.0108259193693901,0.0154348136857151,0.5267820058581643,0.5333797029029014
Methylobacillus flagellatus,3,3,0.011284293646940698,0.0165071971714496,0.4801810275353149,0.5132780392981604
Spongiibacter sp. IMCC21906,3,3,0.010835133069970734,0.013125536032021,0.4562665614619969,0.4989766521339018
Pseudolabrys taiwanensis,3,3,0.0093809945765916,0.0156223526240518,0.4852546596482399,0.4982993032371151
Mesorhizobium amorphae,3,3,0.02197091443054867,0.0387130174281085,0.40032101643854806,0.4628238836844807
Amycolatopsis keratiniphila,2,2,0.0248442624662491,0.0373901995778612,0.6370616197056875,0.7121885402521339
Actinoalloteichus sp. GBA129-24,2,2,0.0568256886151421,0.0791480968409982,0.6094478279779925,0.6975067907246343
Acidobacterium capsulatum,2,2,0.02004776837810425,0.033488069682606,0.5955835855106784,0.6641541790190393
Acidobacteriaceae bacterium SBC82,2,2,0.03967438438357445,0.0608935409301824,0.5947600653787111,0.6633839491519558
Kibdelosporangium phytohabitans,2,2,0.0068420433693056,0.0078545475612088,0.5322396857873075,0.6576926147385043
Granulicella tundricola,2,2,0.02463771553908,0.0433812274420651,0.5632293444214529,0.656982437845188
Janthinobacterium svalbardensis,2,2,0.010634506167812901,0.0149924205616116,0.5134310289307837,0.6226330607512679
Janthinobacterium agaricidamnosum,2,2,0.011875082041331201,0.0164565872400999,0.579598867075906,0.6214875694466759
Kitasatospora albolonga,2,2,0.0079163799813815,0.0093307509658592,0.5832111109675717,0.6172598078442572
Alcanivorax sp. N3-2A,2,2,0.0126464630216561,0.0152273131534457,0.5542745723823963,0.6076262842954088
Lentzea guizhouensis,2,2,0.0112183820456266,0.014504550024867,0.4931181211119665,0.6055058404897168
Frankia sp. EAN1pec,2,2,0.0205045279014595,0.0344299599528312,0.4869018761307494,0.5969645554370502
Nocardia sp. CFHS0054,2,2,0.031770323416759,0.0552175417542457,0.507065581783661,0.5944599471719583
Nocardia farcinica,2,2,0.017708265954213348,0.0292951799929142,0.49901099390008796,0.5849207376705593
Nocardia terpenica,2,2,0.021863407034920852,0.0339312177140582,0.4997973123040332,0.5770848050632045
Mycobacterium haemophilum,2,2,0.00941451468990045,0.0134504167363047,0.5389053907684013,0.5656377244494328
Kytococcus sedentarius,2,2,0.00860923962533075,0.009769295552916,0.46596522502082827,0.5456364429214109
Thermanaerovibrio velox,2,2,0.011564234196724801,0.0178457130862792,0.5135662411485482,0.5390154986022485
Komagataeibacter xylinus,2,2,0.0077096575129745,0.007777175630028,0.5237731689642091,0.5373089884928676
