feature,mean_abs_shap
Austwickia chelonae,0.01583069054512033
Mycobacteroides saopaulense,0.01569785335411533
Ornithinimicrobium sp. AMA3305,0.015371370944944967
Massilia violaceinigra,0.015330729936254917
Hoyosella subflava,0.014915049905110049
Bradyrhizobium lablabi,0.014912237084211485
Nocardioides sp. 603,0.01486784378560368
Kocuria rhizophila,0.014548888546942161
Streptacidiphilus sp. DSM 106435,0.01425503711391902
Mycobacterium haemophilum,0.01418080200655593
Salinispora tropica,0.013633186534456693
Lentzea guizhouensis,0.013615018023319261
Rhodococcus sp. WB1,0.013443117810774808
Psychromicrobium lacuslunae,0.013397266906716804
Massilia sp. YMA4,0.013359150790628655
Streptomyces sp. ADI95-16,0.013344995516729673
Corynebacterium humireducens,0.013193707971266589
Porphyrobacter HT-58-2,0.013006911618946345
Streptomyces sampsonii,0.013001294889610552
Mycobacterium kansasii,0.012865200266785304
Streptomyces xinghaiensis,0.012843704636655543
Spirosoma pollinicola,0.012807508920273498
Acidisphaera sp. G45-3,0.012683759927452048
Actinosynnema mirum,0.012563865223839007
Massilia sp. NR 4-1,0.012538673160571655
Streptomyces sp. NEAU-S7GS2,0.011873988077957146
Micromonospora krabiensis,0.011719141421652172
Homo sapiens,0.011681930932251958
Pseudopropionibacterium propionicum,0.011635660894995424
Brachybacterium sp. P6-10-X1,0.01145527334418405
Verrucosispora maris,0.011402753212786521
Pseudomonas putida,0.01132382886807253
Saccharomonospora glauca,0.011273955992390363
Streptomyces sp. 2323.1,0.011240158106736708
Streptomyces sp. CNQ-509,0.011220081711856946
Streptomyces olivoreticuli,0.010912675608612199
Dietzia sp. JS16-p6b,0.010583825545502704
Kocuria turfanensis,0.010498139215917543
Mycobacterium sp. djl-10,0.010469394707498521
Microbacterium aurum,0.010364014899120165
Caulobacter sp. K31,0.010060220665232971
Kitasatospora albolonga,0.009843701795300872
Halomonas sp. JS92-SW72,0.00975140481387525
Mycetocola sp. 449,0.009448582160576566
Gordonia phthalatica,0.009438180317723931
Candidatus Koribacter versatilis,0.009430608506420697
Brachybacterium saurashtrense,0.009401925124400294
Amycolatopsis mediterranei,0.009385871383196031
Curtobacterium sp. MR_MD2014,0.009250113132800917
Actinomyces sp. Z16,0.009236140079802859
Clavibacter michiganensis,0.009080880629835612
Dietzia lutea,0.009002524632235075
Cutibacterium avidum,0.008996755613110396
Corynebacterium minutissimum,0.008769758019012737
Aeromicrobium erythreum,0.008679916867464868
Rhodococcus rhodochrous,0.00867155452752276
Brevibacterium linens,0.008619457725964081
Nocardia brasiliensis,0.008503016467428152
Micrococcus luteus,0.00849814354692545
Streptomyces sp. Tu6071,0.008346131949595761
Acidipropionibacterium acidipropionici,0.008335058022870344
Planctomyces sp. SH-PL62,0.008298220139776685
Corynebacterium jeikeium,0.008229111495464096
Pseudomonas synxantha,0.008086071654415609
Weeksella virosa,0.008085998074913182
Acidobacteriaceae bacterium SBC82,0.008033224108613018
Serinicoccus sp. JLT9,0.007783459157497468
Tsukamurella tyrosinosolvens,0.007741513020877732
Glutamicibacter nicotianae,0.0077114367397219125
Paludisphaera borealis,0.007651845516737599
Corynebacterium efficiens,0.0076315666532339125
Corynebacterium callunae,0.00744636884246751
Streptomyces sp. Mg1,0.0073537115943692844
Micromonospora purpureochromogenes,0.007299327515969872
Burkholderia sp. JP2-270,0.007240672462519684
Brevibacterium sandarakinum,0.00721881321461726
Pseudonocardia sp. EC080625-04,0.007192733020423589
Corynebacterium maris,0.0071914564144359835
Nocardioides sp. 78,0.007188624228140696
Rhodococcus coprophilus,0.00711193458255667
Rhodococcus sp. BH4,0.007027175763212066
Dietzia sp. oral taxon 368,0.007015485714586129
Streptomyces sp. CFMR 7,0.0069490025377743295
Saccharomonospora azurea,0.006948106524802789
Rhodococcus ruber,0.006787849186561983
Streptomyces globosus,0.006745990143676845
Nitratireductor sp. OM-1,0.00672428180028475
Actinopolymorpha singaporensis,0.006560747563163662
Corynebacterium phocae,0.006464028222272202
Pimelobacter simplex,0.006341135438190895
