feature,mean_abs_shap
Eggerthella lenta,0.0005276095655767914
Caldithrix abyssi,0.0005121045681918541
Methanosphaerula palustris,0.0004952835628901863
Chromohalobacter salexigens,0.0004943202010673993
Desulfomicrobium baculatum,0.0004822897181849097
Roseobacter denitrificans,0.00045673141112667983
Microlunatus soli,0.0004427224751629775
Thioalkalivibrio nitratireducens,0.0004422270392031541
Bifidobacterium pseudolongum,0.00041075738982413276
Thioalkalivibrio versutus,0.0004018898829889459
Defluviimonas alba,0.00039348545423754884
Actinomyces meyeri,0.0003915158353175122
Desulfobacula toluolica,0.0003730421530230925
Methylomonas koyamae,0.0003092410388278726
Dietzia lutea,0.00025985523320311293
Brevibacterium sandarakinum,0.0002562397486477432
Corynebacterium ulcerans,0.0002087246927020214
Corynebacterium uterequi,0.00015901481746737777
Spirosoma rigui,0.000140219761863993
Microcystis aeruginosa,0.00012913220284228486
Synechococcus sp. KORDI-49,0.00011911889318977588
Corynebacterium genitalium,0.00011567409715175268
Deinococcus puniceus,0.0001030305128990225
Corynebacterium argentoratense,9.781194168356013e-05
Bifidobacterium angulatum,9.621454483855573e-05
Spiribacter salinus,7.445977751212574e-05
Cyanobium gracile,6.968598206618969e-05
Bacteroidetes bacterium Omega,6.530930914434406e-05
Komagataeibacter medellinensis,6.33107861141263e-05
Corynebacterium sp. NML98-0116,5.941968536811066e-05
Desulfomicrobium orale,5.283019770292172e-05
Desulfotomaculum ruminis,5.051352180622865e-05
Vibrio breoganii,4.878665932336719e-05
Dehalogenimonas lykanthroporepellens,4.7145381612661505e-05
Methylomicrobium alcaliphilum,4.533748832206705e-05
Synechococcus lividus,4.407159802197379e-05
Salinicola tamaricis,4.0032772259458386e-05
Parasaccharibacter apium,3.9316835384220994e-05
Corynebacterium imitans,3.5954520070013864e-05
Bifidobacterium adolescentis,3.46497289591726e-05
Corynebacterium simulans,3.409341787244241e-05
Haematospirillum jordaniae,3.076736996660359e-05
Halorubrum lacusprofundi,2.9915058216833797e-05
Tumebacillus algifaecis,1.3363325701053542e-05
Waddlia chondrophila,1.2132852996457805e-05
Komagataeibacter europaeus,5.341286535475306e-06
Elusimicrobium minutum,0.0
Hymenobacter sp. DG25B,0.0
Paenibacillus sp. JDR-2,0.0
Bifidobacterium dentium,0.0
Christensenella massiliensis,0.0
Rhodoluna lacicola,0.0
Arenibacter algicola,0.0
Muribaculum intestinale,0.0
Leptolyngbya sp. NIES-3755,0.0
Corynebacterium vitaeruminis,0.0
Corynebacterium phocae,0.0
Actinomyces sp. VUL4_3,0.0
Corynebacterium flavescens,0.0
Gloeomargarita lithophora,0.0
Gluconobacter albidus,0.0
Corynebacterium mustelae,0.0
Corynebacterium renale,0.0
Neisseria elongata,0.0
Exiguobacterium sp. AT1b,0.0
Corynebacterium minutissimum,0.0
Chlorobium phaeovibrioides,0.0
Oscillatoria acuminata,0.0
Bifidobacterium breve,0.0
Mariprofundus aestuarium,0.0
Corynebacterium geronticis,0.0
Yersinia ruckeri,0.0
Nodularia spumigena,0.0
Desulfovibrio salexigens,0.0
Leadbetterella byssophila,0.0
Desulfohalobium retbaense,0.0
Dickeya sp. DW 0440,0.0
Komagataeibacter saccharivorans,0.0
Chloroherpeton thalassium,0.0
Arcanobacterium haemolyticum,0.0
