,count,mean,std,min,25%,50%,75%,max
Corynebacterium ammoniagenes,105.0,0.0006666666666666668,0.00047366546671567095,0.0,0.0,0.001,0.001,0.001
Corynebacterium aquilae,105.0,0.002228571428571429,0.0010401289015637117,0.001,0.001,0.002,0.003,0.005
Corynebacterium argentoratense,105.0,0.001180952380952381,0.0007176477652848338,0.0,0.001,0.001,0.002,0.002
Corynebacterium atypicum,105.0,0.0039809523809523715,0.0021969425974651038,0.001,0.002,0.004,0.006,0.009
Corynebacterium aurimucosum,105.0,0.022114285714285708,0.012372670165852116,0.004,0.01,0.023,0.032,0.052
Corynebacterium callunae,105.0,0.0005047619047619048,0.0005023753102820169,0.0,0.0,0.001,0.001,0.001
Corynebacterium camporealensis,105.0,0.0017714285714285714,0.0010214727570555134,0.0,0.001,0.002,0.003,0.004
Corynebacterium casei,105.0,0.0009238095238095238,0.0006891359988481409,0.0,0.0,0.001,0.001,0.002
Corynebacterium choanis,105.0,0.0009047619047619047,0.0007141941333231882,0.0,0.0,0.001,0.001,0.002
Corynebacterium crudilactis,105.0,0.0003428571428571429,0.0004769408008050138,0.0,0.0,0.0,0.001,0.001
Corynebacterium cystitidis,105.0,0.001123809523809524,0.0007164984043038507,0.0,0.001,0.001,0.002,0.003
Corynebacterium deserti,105.0,0.0007333333333333334,0.0005237928735282439,0.0,0.0,0.001,0.001,0.002
Corynebacterium diphtheriae,105.0,0.0016380952380952384,0.0009315393538469368,0.0,0.001,0.002,0.002,0.005
Corynebacterium doosanense,105.0,0.0053333333333333245,0.002813657169355682,0.001,0.003,0.005,0.008,0.013
Corynebacterium efficiens,105.0,0.0031619047619047594,0.001732737992998633,0.001,0.002,0.003,0.005,0.0069999999999999
Corynebacterium epidermidicanis,105.0,0.0016571428571428572,0.0009983502875761073,0.0,0.001,0.002,0.002,0.004
Corynebacterium falsenii,105.0,0.0031047619047619044,0.0016167620152389185,0.001,0.002,0.003,0.004,0.0069999999999999
Corynebacterium flavescens,105.0,0.001819047619047619,0.0008410267577943094,0.0,0.001,0.002,0.002,0.004
Corynebacterium frankenforstense,105.0,0.009028571428571419,0.004792737179350611,0.002,0.004,0.009,0.013,0.022
Corynebacterium genitalium,105.0,0.0029238095238095234,0.00151082783023107,0.0,0.002,0.003,0.004,0.0069999999999999
Corynebacterium geronticis,105.0,0.0015142857142857145,0.0008672933772362162,0.0,0.001,0.002,0.002,0.003
Corynebacterium glaucum,105.0,0.0032190476190476188,0.0016582019477837109,0.001,0.002,0.003,0.004,0.0069999999999999
Corynebacterium glutamicum,105.0,0.001323809523809524,0.0007531375154751733,0.0,0.001,0.001,0.002,0.003
Corynebacterium glyciniphilum,105.0,0.004399999999999989,0.002322962299770228,0.001,0.002,0.004,0.006,0.01
Corynebacterium halotolerans,105.0,0.007742857142857134,0.0041464270333453485,0.002,0.004,0.008,0.011,0.018
Corynebacterium humireducens,105.0,0.005609523809523798,0.002873938727517303,0.001,0.003,0.006,0.008,0.013
Corynebacterium imitans,105.0,0.003599999999999994,0.0018636193074436837,0.001,0.002,0.004,0.005,0.008
Corynebacterium jeikeium,105.0,0.004771428571428561,0.002646685673619934,0.001,0.002,0.005,0.0069999999999999,0.01
Corynebacterium kroppenstedtii,105.0,0.024057142857142843,0.012910809850238328,0.004,0.012,0.025,0.034,0.0559999999999999
Corynebacterium lactis,105.0,0.0027428571428571432,0.0014937599142160309,0.001,0.001,0.003,0.004,0.006
Corynebacterium marinum,105.0,0.005771428571428559,0.0030263494855669207,0.001,0.003,0.006,0.008,0.0139999999999999
Corynebacterium maris,105.0,0.0054666666666666535,0.0027388468469927295,0.001,0.003,0.006,0.0069999999999999,0.012
Corynebacterium minutissimum,105.0,0.0013714285714285716,0.0008464534933967234,0.0,0.001,0.001,0.002,0.003
Corynebacterium mustelae,105.0,0.0005809523809523809,0.0004957696499257954,0.0,0.0,0.001,0.001,0.001
Corynebacterium mycetoides,105.0,0.004523809523809513,0.0024655130457481925,0.001,0.002,0.005,0.006,0.011
