gold_project_id,nmdc_omics_id,nmdc_biosample_id,sample_name_nmdc,sample_code,site,compartment
Gp0566721,nmdc:omprc-11-kr53zx90,nmdc:bsm-11-jg4tae61,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-4579-Co1_14_4 soil",GW-4579-Co1_14_4,Corvallis,soil
Gp0566722,nmdc:omprc-11-rhtxk444,nmdc:bsm-11-2mb94m91,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-4579-Co2_44_8 soil",GW-4579-Co2_44_8,Corvallis,soil
Gp0566723,nmdc:omprc-11-60p4qf70,nmdc:bsm-11-ptgmvp63,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-4579-Co3_14_51 soil",GW-4579-Co3_14_51,Corvallis,soil
Gp0566724,nmdc:omprc-11-nywh0k34,nmdc:bsm-11-5s5m0j49,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-7986-Co1_37_5 soil",GW-7986-Co1_37_5,Corvallis,soil
Gp0566725,nmdc:omprc-11-qp01xa65,nmdc:bsm-11-r8wy8d17,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-7986-Co2_68_28 soil",GW-7986-Co2_68_28,Corvallis,soil
Gp0566726,nmdc:omprc-11-bcp2nf12,nmdc:bsm-11-yqr04970,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-7986-Co3_31_39 soil",GW-7986-Co3_31_39,Corvallis,soil
Gp0566727,nmdc:omprc-11-crvgev89,nmdc:bsm-11-6hgyxc93,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-9591-CL1_34_16 soil",GW-9591-CL1_34_16,Clatskanie,soil
Gp0566728,nmdc:omprc-11-jn7mzp35,nmdc:bsm-11-90z66h33,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-9591-CL2_56_12 soil",GW-9591-CL2_56_12,Clatskanie,soil
Gp0566729,nmdc:omprc-11-v7kjt695,nmdc:bsm-11-bxtp7j54,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-9591-CL3_98_5 soil",GW-9591-CL3_98_5,Clatskanie,soil
Gp0566730,nmdc:omprc-11-vnfjya07,nmdc:bsm-11-08mamh62,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-9591-Co1_16_8 soil",GW-9591-Co1_16_8,Corvallis,soil
Gp0566731,nmdc:omprc-11-gb2hp573,nmdc:bsm-11-ewmanm69,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-9591-Co2_62_24 soil",GW-9591-Co2_62_24,Corvallis,soil
Gp0566732,nmdc:omprc-11-jkq8pg75,nmdc:bsm-11-wg01qe88,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-9591-Co3_35_48 soil",GW-9591-Co3_35_48,Corvallis,soil
Gp0566733,nmdc:omprc-11-jd6vw994,nmdc:bsm-11-e7hn2484,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - SKWA-24-3-CL2_69_25 soil",SKWA-24-3-CL2_69_25,Clatskanie,soil
Gp0566734,nmdc:omprc-11-sf0m5526,nmdc:bsm-11-v9f9cm81,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWA-24-3-Co1_3_5 soil",SKWA-24-3-Co1_3_5,Corvallis,soil
Gp0566735,nmdc:omprc-11-d8x84d73,nmdc:bsm-11-fa3kp606,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWA-24-3-Co2_41_10 soil",SKWA-24-3-Co2_41_10,Corvallis,soil
Gp0566736,nmdc:omprc-11-sm0z7n48,nmdc:bsm-11-7asn9342,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWA-24-3-Co3_23_35 soil",SKWA-24-3-Co3_23_35,Corvallis,soil
Gp0566737,nmdc:omprc-11-wb138711,nmdc:bsm-11-fp5n5836,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - SKWD-24-1-CL2_58_25 soil",SKWD-24-1-CL2_58_25,Clatskanie,soil
