chem__LBCeq (mg/kg CaCO3/pH dry weight),chem__LBC (mg/kg CaCO3/pH dry weight),chem__Ca (Mehlich 1 mg/kg dry weight),denit__Rate (microgN/kilogram dry weight soil/day),chem__K (Mehlich 1 mg/kg dry weight),chem__Mg (Mehlich 1 mg/kg dry weight),chem__P (Mehlich 1 mg/kg dry weight),psize__Soil Clay Content %,psize__Soil Silt Content %,moist__Replicate 1 Mass Water / Mass Dry Soil %,moist__Replicate 2 Mass Water / Mass Dry Soil %,moist__Replicate 3 Mass Water / Mass Dry Soil %,chem__Mn (Mehlich 1 mg/kg dry weight),chem__NO3-N (mg/kg dry weight),soil_NO3,psize__Soil Sand Content %,chem__NH4-N (mg/kg dry weight),soil_NH4,nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),chem__Zn (Mehlich 1 mg/kg dry weight)
1009.2,348.0,1496.0,13.44406645,118.741,294.494,97.1426,78.78338279,7.418397626,3.505154639,3.319502075,2.880658436,11.751,0.24,0.24,13.79821958,2.0195,2.0195,-1.030299097,1.5662
1673.3,577.0,2320.83,13.36388139,489.767,458.94,114.327,47.89915966,30.89471083,8.207343413,8.008658009,8.441558442,20.1285,2.804,2.804,21.20612951,2.329,2.329,1.026333202,2.638
1490.6,514.0,2206.82,31.59997732,173.027,448.931,115.044,53.84997516,33.08494784,6.609808102,6.157112527,6.131078224,20.7862,0.983,0.983,13.065077,2.9575,2.9575,0.600959479,2.4845
1392.0,480.0,2217.89,1.387080075,153.687,439.551,116.39,49.7020854,37.68619662,5.708245243,7.741935484,6.623931624,20.3547,1.919,1.919,12.61171797,2.4445,2.4445,0.562458287,1.8725
,,,,,,,56.97503671,25.25697504,,,,,,,17.76798825,,,,
1827.0,630.0,2534.64,11.86025743,200.771,469.339,90.0195,42.94190358,35.84672435,10.86474501,10.39823009,10.13215859,21.5092,1.5495,1.5495,21.21137206,3.358,3.358,1.059898647,2.5555
3326.3,1147.0,2413.19,60.70719394,220.011,410.271,22.1269,12.51840943,58.910162,29.79274611,23.76237624,24.93765586,42.7143,15.6745,15.6745,28.57142857,7.472,7.472,2.720013484,5.7071
1754.5,605.0,2448.33,104.4283654,169.281,471.495,105.396,46.2113659,33.2003988,48.80952381,49.4011976,48.95522388,25.1614,5.8955,5.8955,20.58823529,3.556,3.556,2.073208348,2.3241
3227.7,1113.0,2480.86,87.46480971,395.775,514.993,30.343,7.699852869,63.7567435,25.6281407,18.52731591,20.67307692,56.7257,25.197,25.197,28.54340363,10.46,10.46,6.655079484,9.496
1363.0,470.0,2236.72,11.63600509,148.147,423.518,113.594,42.31150794,40.12896825,7.52688172,7.725321888,8.658008658,20.9377,3.086,3.086,17.55952381,3.783,3.783,1.057595162,2.3331
