,count,mean,std,min,25%,50%,75%,max
Stenotrophomonas sp. G4,105.0,0.008533333333333327,0.023142978112106402,0.002,0.003,0.004,0.006,0.202
Stenotrophomonas sp. LM091,105.0,0.019380952380952367,0.03033796205073672,0.005,0.009,0.011,0.017,0.27
Stenotrophomonas sp. MYb57,105.0,0.013638095238095229,0.04597012487423088,0.003,0.004,0.005,0.008,0.392
Stenotrophomonas sp. Pemsol,105.0,0.0066285714285714194,0.004121372864193953,0.002,0.005,0.006,0.0069999999999999,0.031
Stenotrophomonas sp. SAU14A_NAIMI4_5,105.0,0.008523809523809512,0.008002517918773632,0.004,0.005,0.006,0.008,0.065
Stenotrophomonas sp. SAU14A_NAIMI4_8,105.0,0.001523809523809524,0.0011015307364617493,0.001,0.001,0.001,0.002,0.008
Stenotrophomonas sp. WZN-1,105.0,0.0027142857142857134,0.0018847275140448766,0.001,0.002,0.002,0.003,0.0139999999999999
Stenotrophomonas sp. YAU14A_MKIMI4_1,105.0,0.0012190476190476192,0.0008201893822225589,0.0,0.001,0.001,0.001,0.006
Stenotrophomonas sp. YAU14D1_LEIMI4_1,105.0,0.0024761904761904756,0.001990821429302476,0.001,0.002,0.002,0.002,0.016
Stenotrophomonas sp. ZAC14A_NAIMI4_1,105.0,0.008761904761904742,0.0064323757567059095,0.004,0.006,0.0069999999999999,0.009,0.051
Stenotrophomonas sp. ZAC14D2_NAIMI4_6,105.0,0.002504761904761905,0.002300183142891559,0.001,0.002,0.002,0.002,0.018
Stenotrophomonas sp. ZAC14D2_NAIMI4_7,105.0,0.004076190476190474,0.003182570435788431,0.001,0.003,0.003,0.004,0.026
Streptacidiphilus sp. DSM 106435,105.0,0.07221904761904763,0.06939643375790298,0.005,0.02,0.04,0.096,0.284
Streptococcus thermophilus,105.0,0.0002380952380952381,0.000528492222557749,0.0,0.0,0.0,0.0,0.002
Streptomyces phage Nanodon,105.0,0.009495238095238091,0.015565694410813877,0.0,0.0,0.001,0.018,0.072
Streptomyces phage phiHau3,105.0,0.012828571428571429,0.020753339463833256,0.0,0.0,0.001,0.024,0.097
Streptomyces phage phiSASD1,105.0,0.0011523809523809525,0.0020511767372232963,0.0,0.0,0.0,0.001,0.01
Streptomyces virus phiBT1,105.0,0.0028095238095238078,0.00867588971063269,0.0,0.0,0.0,0.002,0.059
Streptomyces virus phiC31,105.0,0.0036666666666666666,0.011469580726917705,0.0,0.0,0.0,0.002,0.076
Symbiobacterium thermophilum,105.0,0.012095238095238083,0.0064009071014670856,0.002,0.006,0.013,0.016,0.026
Syntrophobacter fumaroxidans,105.0,0.006276190476190465,0.003471020793366888,0.001,0.003,0.006,0.009,0.0139999999999999
Syntrophobotulus glycolicus,105.0,0.00045714285714285713,0.000500549148984843,0.0,0.0,0.0,0.001,0.001
Syntrophomonas wolfei,105.0,0.0005238095238095238,0.0005018281596637457,0.0,0.0,0.001,0.001,0.001
Syntrophothermus lipocalidus,105.0,0.0006095238095238096,0.0004901969403138297,0.0,0.0,0.001,0.001,0.001
Syntrophus aciditrophicus,105.0,0.001961904761904762,0.0010554238077281628,0.0,0.001,0.002,0.003,0.004
Tateyamaria omphalii,105.0,0.00494285714285713,0.002060753089698822,0.002,0.003,0.005,0.006,0.01
Tenacibaculum mesophilum,105.0,0.00021904761904761904,0.0004155846757408443,0.0,0.0,0.0,0.0,0.001
Thermacetogenium phaeum,105.0,0.0017238095238095244,0.0009657125517464981,0.0,0.001,0.002,0.002,0.004
Thermoanaerobacter siderophilus,105.0,0.0005523809523809524,0.0004996335653593538,0.0,0.0,0.001,0.001,0.001
