mg_feature,n_metabolites,mean_importance,max_importance,mean_abs_corr
Candidatus Koribacter versatilis,3,0.034530551072085226,0.06267037119306423,0.5893957263392579
Pseudonocardia sp. AL041005-10,3,0.02577490790292608,0.05801407992839813,0.603420200095168
Granulicella mallensis,3,0.027002585129687683,0.057509879892990785,0.5672356768376164
Actinoplanes friuliensis,3,0.03589058287753797,0.05457426679325512,0.30400667644406737
Pseudomonas sp. DY-1,3,0.025722273950377187,0.05409776144355262,0.5086698023807891
Streptomyces sp. CNQ-509,3,0.01958283859156048,0.04878935795328636,0.5214257916933388
Granulicella tundricola,3,0.017636046451788855,0.043381227442065115,0.5730446392221173
Pseudomonas granadensis,3,0.0158032778207988,0.0372006578126773,0.5011708115361523
Rahnella sp. ERMR1:05,3,0.024314002672274654,0.03625098090362368,0.1693302255659225
Bradyrhizobium sp.,3,0.01874135232055223,0.034230493009090424,0.16302447412423
Nocardia terpenica,3,0.01574143363013842,0.0339312177140582,0.5179454382901318
Streptomyces sp. CMB-StM0423,3,0.009366563453985307,0.022506259381771088,0.5463976938521897
Amycolatopsis sp. BJA-103,3,0.014477289095803737,0.022236426369139074,0.5849193626045679
Thermobifida fusca,3,0.01294767651586784,0.021922921849455976,0.5496617030868872
Bradyrhizobium lablabi,3,0.014490862028236707,0.021634526550769806,0.5667114893697778
Nostoc sp. PCC 7524,3,0.014884195493422911,0.02120849097699292,0.13832348108448855
Streptomyces actuosus,3,0.013676940841734458,0.02120007574558258,0.3362167129530848
Niastella koreensis,3,0.01468237116932869,0.018852610141038895,0.23210904237967633
Enterobacter ludwigii,3,0.012776120388818252,0.017356455326080322,0.5983068399874907
Methylobacillus flagellatus,3,0.011284293646940767,0.01650719717144966,0.4801810275353149
Streptomyces virus phiBT1,3,0.01461815117296863,0.016015103086829185,0.24648455939462513
Pseudolabrys taiwanensis,3,0.00938099457659165,0.015622352624051898,0.4852546596482399
Acinetobacter calcoaceticus,3,0.009700440460193178,0.015584137712968148,0.2243095083350685
Prevotella intermedia,3,0.008195387378987272,0.01459892303545097,0.5034238920766595
Mycolicibacterium vanbaalenii,3,0.009663210936571699,0.014038903928561674,0.13772047244011515
Novosphingobium sp. P6W,3,0.008316029125260282,0.013423413038253784,0.34800384539849194
Micromonospora inositola,3,0.008636611949831534,0.013014581721134285,0.5320448178481735
Acinetobacter pittii,3,0.00798907813127564,0.01271649223552767,0.09542241511421863
Planctomyces sp. SH-PL62,3,0.011035558227979428,0.012552531436085701,0.4965769979071499
Acinetobacter radioresistens,3,0.009468432127181084,0.012363763526082039,0.06640274275836971
Jatrophihabitans sp. GAS493,3,0.00927178914286867,0.012189005732656761,0.5960537254126047
Janthinobacterium sp. LM6,3,0.009479226591816237,0.011320874094963074,0.3827613723516037
Streptomyces olivoreticuli,3,0.005053424349135859,0.008187116579771322,0.48952856045458554
Psychrobacter sp. AntiMn-1,3,0.004845564191133015,0.007647016959515578,0.5965310240238592
Streptomyces autolyticus,3,0.006148715334381212,0.00698491765853341,0.48048102964483846
Rhodococcus ruber,3,0.0034137220639275947,0.0035627266718916864,0.5195108890894233
Acidiphilium multivorum,3,0.003467062541009312,0.0035053494741310227,0.5311944458534105
Actinoalloteichus sp. GBA129-24,2,0.05682568861514216,0.07914809684099824,0.6094478279779925
Roseobacter denitrificans,2,0.03832868440076709,0.06563133001327515,0.33574747677741834
Acidobacteriaceae bacterium SBC82,2,0.039674384383574485,0.06089354093018245,0.5947600653787111
Nocardia sp. CFHS0054,2,0.03177032341675903,0.05521754175424576,0.507065581783661
Pseudomonas sp. K2W31S-8,2,0.04424993816722734,0.05062160514214244,0.49332515665206644
Agromyces sp. 30A,2,0.03381208008950269,0.044764094942651114,0.08325703540405219
Amycolatopsis keratiniphila,2,0.02484426246624917,0.037390199577861265,0.6370616197056875
Wolbachia endosymbiont of Brugia malayi,2,0.02296356655478551,0.037171769078631636,0.2575012076480869
Sphingomonas koreensis,2,0.02274556690827012,0.036082636564970016,0.30655426465006524
Streptomyces olivaceus,2,0.021244294190502257,0.035401228815317154,0.3485534242948968
Frankia sp. EAN1pec,2,0.02050452790145958,0.03442995995283127,0.4869018761307494
Mucinivorans hirudinis,2,0.020949815399944782,0.0335392951965332,0.11690887150254103
Cupriavidus basilensis,2,0.02053461130708456,0.033231452107429504,0.22588035617775248
Paludisphaera borealis,2,0.020430999932000198,0.0298146231496112,0.47268751174767043
Nocardia farcinica,2,0.017708265954213348,0.0292951799929142,0.49901099390008796
Pseudomonas sp. Z003-0.4C(8344-21),2,0.017056291364736825,0.028185586762107258,0.5167820642119958
Pseudomonas thivervalensis,2,0.01513216048859622,0.026162709832008375,0.5177559296361867
