feature,metabolite,importance,importance_sum,n_occurrences,feature_type,feature_category,feature_clean,metabolite_short
Paenibacillus sp. FSL R5-0912,C18_negative|IK:ABVDJKDAAWCYKH-PNJCVKMMSA-N,0.0642841287584557,0.0642841287584557,1,microbe,microbe_Paenibacillus,Paenibacillus,C18_negative|IK:ABVDJKDAAW
Paenibacillus sp. JDR-2,C18_negative|IK:BAHHZVVNFAOLAZ-UHFFFAOYSA-N,0.0185252854379976,0.0185252854379976,1,microbe,microbe_Paenibacillus,Paenibacillus,C18_negative|IK:BAHHZVVNFA
Pantoea agglomerans,C18_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,0.0338381978154579,0.0338381978154579,1,microbe,microbe_other,Pantoea agglomerans,C18_negative|IK:CZMRCDWAGM
Paraburkholderia graminis,C18_negative|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,0.0453523729285862,0.0453523729285862,1,microbe,microbe_other,Paraburkholderia graminis,C18_negative|IK:CDRPUGZCRX
Pectobacterium carotovorum,C18_negative|IK:CZOXIGOPZRIBJM-TZWBTVLISA-N,0.0232396414974232,0.0232396414974232,1,microbe,microbe_other,Pectobacterium carotovorum,C18_negative|IK:CZOXIGOPZR
Phycicoccus dokdonensis,C18_negative|IK:DLRVVLDZNNYCBX-ABXHMFFYSA-N,0.0292586021375311,0.0292586021375311,1,microbe,microbe_other,Phycicoccus dokdonensis,C18_negative|IK:DLRVVLDZNN
Pseudomonas alcaligenes,C18_negative|IK:CFJLERBDXYGARW-TVKJYDDYSA-N,0.0255062265784358,0.0255062265784358,1,microbe,microbe_Pseudomonas,Pseudomonas,C18_negative|IK:CFJLERBDXY
Pseudomonas brassicacearum,C18_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,0.0182800647119509,0.0182800647119509,1,microbe,microbe_Pseudomonas,Pseudomonas,C18_negative|IK:AAWZDTNXLS
Pseudomonas entomophila,C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,0.0255102053130981,0.0255102053130981,1,microbe,microbe_Pseudomonas,Pseudomonas,C18_negative|IK:BJEPYKJPYR
Pseudomonas reinekei,C18_negative|IK:CWVRJTMFETXNAD-UHFFFAOYSA-N,0.0266642623146595,0.0266642623146595,1,microbe,microbe_Pseudomonas,Pseudomonas,C18_negative|IK:CWVRJTMFET
Pseudomonas sp. K2W31S-8,C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,0.0228090450454326,0.0228090450454326,1,microbe,microbe_Pseudomonas,Pseudomonas,C18_negative|IK:BJEPYKJPYR
Pseudomonas sp. LAB-08,C18_negative|IK:AKEUNCKRJATALU-UHFFFAOYSA-N,0.0204340986542264,0.0204340986542264,1,microbe,microbe_Pseudomonas,Pseudomonas,C18_negative|IK:AKEUNCKRJA
Pseudomonas sp. LH1G9,C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,0.0373356581933153,0.0373356581933153,1,microbe,microbe_Pseudomonas,Pseudomonas,C18_negative|IK:BJEPYKJPYR
Pseudomonas sp. R11-23-07,C18_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,0.0186585280367884,0.0186585280367884,1,microbe,microbe_Pseudomonas,Pseudomonas,C18_negative|IK:AAWZDTNXLS
Pseudomonas sp. R4-34-07,C18_negative|IK:BJHIKXHVCXFQLS-PQLUHFTBSA-N,0.0508820799555111,0.0508820799555111,1,microbe,microbe_Pseudomonas,Pseudomonas,C18_negative|IK:BJHIKXHVCX
Pseudomonas sp. URMO17WK12:I11,C18_negative|IK:BJEPYKJPYRNKOW-UWTATZPHSA-N,0.0251268262531939,0.0251268262531939,1,microbe,microbe_Pseudomonas,Pseudomonas,C18_negative|IK:BJEPYKJPYR
Pseudomonas umsongensis,C18_negative|IK:BPSJMBKZSUTYNF-GXCUHXBUSA-N,0.1220847320987777,0.1220847320987777,1,microbe,microbe_Pseudomonas,Pseudomonas,C18_negative|IK:BPSJMBKZSU
