mg_feature,n_metabolites,mean_importance,max_importance,mean_abs_corr
Nitrosomonas eutropha,1,0.005624677038010722,0.005624677038010722,0.12742589077906996
Planococcus plakortidis,1,0.00546571661249837,0.00546571661249837,0.464763694596946
Hippea maritima,1,0.005164600868773261,0.005164600868773261,0.3364370959174844
Pseudomonas sp. CMR5c,1,0.005073098910811212,0.005073098910811212,0.5230149692101815
Gottschalkia acidurici,1,0.004935264211353309,0.004935264211353309,0.03641800760308948
Altererythrobacter ishigakiensis,1,0.00488666376412023,0.00488666376412023,0.2938640894858746
Stenotrophomonas nitritireducens,1,0.004843680200015092,0.004843680200015092,0.07602852772666177
Desulfovibrio hydrothermalis,1,0.004843253752242776,0.004843253752242776,0.008900791550440362
Thermodesulfovibrio yellowstonii,1,0.004812874713953524,0.004812874713953524,0.5076183084242513
Zobellia galactanivorans,1,0.0047662309334077805,0.0047662309334077805,0.343501832785338
Candidatus Nitrosopelagicus brevis,1,0.004730232824502257,0.004730232824502257,0.5618290062562054
Scytonema sp. NIES-4073,1,0.004706112633201011,0.004706112633201011,0.5284618675103144
Neisseria sp. 10023,1,0.004674778511902975,0.004674778511902975,0.46914451480258323
Thermobispora bispora,1,0.00456061932578225,0.00456061932578225,0.5353992075925467
Pseudomonas sp. Z003-0.4C(8344-21),1,0.004521666376365775,0.004521666376365775,0.5207983065253871
Fictibacillus arsenicus,1,0.0045156914344842486,0.0045156914344842486,0.2523698996162923
Pseudomonas sp. NS1(2017),1,0.00450800380134649,0.00450800380134649,0.5142162722242656
Pseudomonas sp. R11-23-07,1,0.00448850391169786,0.00448850391169786,0.5486165863507393
Calothrix sp. PCC 7507,1,0.0044412405159667155,0.0044412405159667155,0.5318100488152154
Pseudomonas mosselii,1,0.004421606036142966,0.004421606036142966,0.5284870167307408
Denitrovibrio acetiphilus,1,0.0044099478820365315,0.0044099478820365315,0.49373631436564824
Sphingopyxis sp. WS5A3p,1,0.0044036397673722786,0.0044036397673722786,0.060770301912473845
Streptacidiphilus sp. DSM 106435,1,0.004339037306719386,0.004339037306719386,0.5547413250475961
Bifidobacterium catenulatum,1,0.004295165655177649,0.004295165655177649,0.2145626502014868
Bradyrhizobium erythrophlei,1,0.004291654336546284,0.004291654336546284,0.5277844422428346
Corynebacterium phocae,1,0.004288804123908801,0.004288804123908801,0.5483243121757403
Geobacillus thermocatenulatus,1,0.004222251226699429,0.004222251226699429,0.5611959931017851
Thermotoga maritima,1,0.004212158571182296,0.004212158571182296,0.4474675144795337
Citrobacter freundii complex sp. CFNIH2,1,0.004207860925523695,0.004207860925523695,0.49063853574208255
Chlorobium limicola,1,0.004196288587981274,0.004196288587981274,0.48296084568558884
Glaciecola nitratireducens,1,0.004128140188583769,0.004128140188583769,0.15365877285494786
Kangiella koreensis,1,0.004121020919130258,0.004121020919130258,0.32593060990083494
Parageobacillus genomosp. 1,1,0.004109027466953604,0.004109027466953604,0.5356624113209564
Acidiphilium cryptum,1,0.004102590021485871,0.004102590021485871,0.4826240549493896
Flavobacterium sp. MEBiC07310,1,0.004093924166607475,0.004093924166607475,0.23622081107470816
Gramella salexigens,1,0.004017170653599799,0.004017170653599799,0.1087674371601151
Kitasatospora aureofaciens,1,0.003999941905566418,0.003999941905566418,0.657647364694276
Cupriavidus sp. USMAHM13,1,0.003950669662156632,0.003950669662156632,0.4589149188919164
Geminocystis herdmanii,1,0.003948845064608175,0.003948845064608175,0.567102169749467
Pseudomonas sp. JY-Q,1,0.003928794144164899,0.003928794144164899,0.5286629222534756
Corynebacterium aquilae,1,0.0039118205046473255,0.0039118205046473255,0.5127566840799307
Lentibacillus amyloliquefaciens,1,0.003896630365942912,0.003896630365942912,0.24859574442371532
Ralstonia pseudosolanacearum,1,0.0038571230929918703,0.0038571230929918703,0.29690928814049894
Sphingopyxis sp. EG6,1,0.003805898612222909,0.003805898612222909,0.139224110947488
Photobacterium gaetbulicola,1,0.003789751797010143,0.003789751797010143,0.3208753990933821
Pseudomonas reinekei,1,0.0037873423353712798,0.0037873423353712798,0.5196302546316897
Croceibacter atlanticus,1,0.0037433535582478334,0.0037433535582478334,0.1360098421996738
Pseudomonas sp. K2W31S-8,1,0.0037378457157681037,0.0037378457157681037,0.5050809391365528
Corynebacterium pseudotuberculosis,1,0.0036866119299268246,0.0036866119299268246,0.5638886270260136
Amycolatopsis sp. BJA-103,1,0.003674543411763258,0.003674543411763258,0.6046915600217788
Bacteroides ovatus,1,0.0036530784139361407,0.0036530784139361407,0.5315634778355013
Candidatus Endolissoclinum faulkneri,1,0.003635834462981165,0.003635834462981165,0.26911497457622646
Pseudarcicella sp. HME7025,1,0.003634324399020307,0.003634324399020307,0.5653998437800778
Paenibacillus sp. FSL R5-0912,1,0.003602604579853228,0.003602604579853228,0.18473693902935165
Pseudomonas citronellolis,1,0.0035858539168298663,0.0035858539168298663,0.5145258616505388
Dehalogenimonas lykanthroporepellens,1,0.003581096362304378,0.003581096362304378,0.48117276937554426
Neisseria sp. 10022,1,0.003560706242774289,0.003560706242774289,0.4465351353210714
Pseudomonas soli,1,0.003541797341087931,0.003541797341087931,0.5208753871488794
Actinoplanes teichomyceticus,1,0.003530623287638867,0.003530623287638867,0.5603835221767867
Streptococcus suis,1,0.0035129201786336223,0.0035129201786336223,0.5312047669138359
Polaribacter vadi,1,0.0035119412003054994,0.0035119412003054994,0.15602724847441943
Pseudonocardia sp. HH130629-09,1,0.0035042746712551733,0.0035042746712551733,0.5291668164134441
Rickettsia endosymbiont of Ixodes scapularis,1,0.003463592121719599,0.003463592121719599,0.11052373315516939
Kitasatospora sp. MMS16-BH015,1,0.0034598179821406184,0.0034598179821406184,0.6048753825979301
Pseudomonas sp. R2-7-07,1,0.0034591596105078954,0.0034591596105078954,0.5267625636096689
Acetobacter pasteurianus,1,0.0034587708907915116,0.0034587708907915116,0.5361633023736524
Tsukamurella paurometabola,1,0.003407580388791649,0.003407580388791649,0.5472971654715105
Eikenella corrodens,1,0.0034015449729672353,0.0034015449729672353,0.48701466389035036
Pseudomonas sp. phDV1,1,0.00339757167430703,0.00339757167430703,0.5246980575882103
Bacillus infantis,1,0.0033747204668704905,0.0033747204668704905,0.442428353311154
Olleya sp. Bg11-27,1,0.0033597150451201807,0.0033597150451201807,0.018762520784945176
Xenorhabdus nematophila,1,0.0033337975746086644,0.0033337975746086644,0.1169708046658509
Pseudomonas avellanae,1,0.0033071774712218286,0.0033071774712218286,0.1149896086139918
Bordetella pertussis,1,0.0033010924515384414,0.0033010924515384414,0.39059537609113426
Corynebacterium sp. 2183,1,0.0032871073795725874,0.0032871073795725874,0.5186823577247934
Oleiphilus messinensis,1,0.0032746814024730933,0.0032746814024730933,0.053957444788964075
Altererythrobacter namhicola,1,0.003268268440759293,0.003268268440759293,0.055767817783042975
Methylophilus sp. TWE2,1,0.0032328312670572446,0.0032328312670572446,0.47797380624541497
Polynucleobacter wuianus,1,0.003205608126314335,0.003205608126314335,0.039338724752319636
Pseudomonas plecoglossicida,1,0.003188179935857855,0.003188179935857855,0.554517644689015
Labrenzia sp. CP4,1,0.0031720371672982724,0.0031720371672982724,0.17036908522358865
Corynebacterium ammoniagenes,1,0.003166816067726623,0.003166816067726623,0.5026782269511555
