feature,mean_imp,freq,score
Mycobacterium tuberculosis,0.0078421071190579,1,0.0078421071190579
Candidatus Methylopumilus turicensis,0.0078373165193293,1,0.0078373165193293
Pseudomonas kribbensis,0.0078295320992917,1,0.0078295320992917
Rhizobium sp. NXC14,0.0078223807467212,1,0.0078223807467212
Nitrobacter hamburgensis,0.0077937835549897,1,0.0077937835549897
soil_pH,0.0077825465717187,1,0.0077825465717187
Gottschalkia acidurici,0.0077172544450602,1,0.0077172544450602
Agrobacterium vitis,0.0077168700452373,1,0.0077168700452373
Pseudomonas silesiensis,0.0076287215907438,1,0.0076287215907438
Weeksella virosa,0.007542522853738,1,0.007542522853738
Nakamurella multipartita,0.0075122840784263,1,0.0075122840784263
Streptomyces sp. NEAU-S7GS2,0.0073317669556965,1,0.0073317669556965
chem__Mn (Mehlich 1 mg/kg dry weight),0.0073289800371734,1,0.0073289800371734
Desulfobacula toluolica,0.0073082410411898,1,0.0073082410411898
Pseudomonas aeruginosa,0.0073036335858701,1,0.0073036335858701
Thermomonospora curvata,0.0072928414285539,1,0.0072928414285539
Escherichia fergusonii,0.0072865283087789,1,0.0072865283087789
Amycolatopsis sp. BJA-103,0.0072858196268006,1,0.0072858196268006
Marinomonas mediterranea,0.0072254409140186,1,0.0072254409140186
Bordetella flabilis,0.0072181064429401,1,0.0072181064429401
Salmonella enterica,0.0071493127992645,1,0.0071493127992645
Stenotrophomonas sp. YAU14A_MKIMI4_1,0.0071358805322345,1,0.0071358805322345
Burkholderia sp. CCGE1002,0.0071340982663069,1,0.0071340982663069
Flavobacterium crassostreae,0.0070640030597277,1,0.0070640030597277
Massilia sp. NR 4-1,0.0070024482044216,1,0.0070024482044216
Streptomyces virus phiC31,0.0070004375427918,1,0.0070004375427918
Pseudomonas sp. S09G 359,0.006948345861602,1,0.006948345861602
Sphingopyxis sp. EG6,0.0068847402795812,1,0.0068847402795812
Actinoplanes sp. SE50/110,0.0068679050748907,1,0.0068679050748907
Granulicella mallensis,0.0067940772095107,1,0.0067940772095107
chem__Mg (Mehlich 1 mg/kg dry weight),0.0067634865578389,1,0.0067634865578389
Pseudoxanthomonas spadix,0.0067026833772957,1,0.0067026833772957
Corynebacterium diphtheriae,0.0066831817609649,1,0.0066831817609649
Endozoicomonas montiporae,0.0066570879198233,1,0.0066570879198233
Arthrobacter sp. ERGS1:01,0.0065559971926949,1,0.0065559971926949
Yersinia massiliensis,0.0065509556436343,1,0.0065509556436343
Polaromonas sp. SP1,0.0065409014757401,1,0.0065409014757401
Dickeya dianthicola,0.006535267576111,1,0.006535267576111
Dyella jiangningensis,0.0065121974985126,1,0.0065121974985126
Herbaspirillum seropedicae,0.0064593728157322,1,0.0064593728157322
Clostridium saccharoperbutylacetonicum,0.0064260862501143,1,0.0064260862501143
Pseudomonas saudiphocaensis,0.0063952663217357,1,0.0063952663217357
Pseudomonas lurida,0.0063946512803194,1,0.0063946512803194
Streptomyces virus Izzy,0.0063242969244821,1,0.0063242969244821
Paraburkholderia phymatum,0.0062530495888956,1,0.0062530495888956
Pseudomonas sp. DR 5-09,0.0062102162974345,1,0.0062102162974345
Streptomyces xiamenensis,0.0061770193617622,1,0.0061770193617622
Janthinobacterium svalbardensis,0.0061678987878928,1,0.0061678987878928
Microvirga ossetica,0.0061022385149564,1,0.0061022385149564
Methylomonas clara,0.0060156094290454,1,0.0060156094290454
Pseudomonas salegens,0.0059540075080762,1,0.0059540075080762
Bordetella sp. N,0.0058985199545446,1,0.0058985199545446
Rhizobium phage 16-3,0.0058503576621109,1,0.0058503576621109
Curtobacterium sp. MR_MD2014,0.0058164462123629,1,0.0058164462123629
Aquitalea magnusonii,0.0058034579028253,1,0.0058034579028253
Candidatus Methylopumilus planktonicus,0.0058025772190401,1,0.0058025772190401
Echinicola strongylocentroti,0.0057999780309861,1,0.0057999780309861
Dickeya sp. NCPPB 3274,0.0057849064714522,1,0.0057849064714522
Dickeya solani,0.0057406636585179,1,0.0057406636585179
Mycobacterium sp. YC-RL4,0.0057177215804921,1,0.0057177215804921
Burkholderia sp. PAMC 28687,0.0057023818033133,1,0.0057023818033133
Streptomyces atratus,0.0056742273328649,1,0.0056742273328649
Mycobacterium liflandii,0.0056523225432424,1,0.0056523225432424
Herbaspirillum hiltneri,0.0056022501545634,1,0.0056022501545634
Rhodanobacter denitrificans,0.0055941129323698,1,0.0055941129323698
Brachybacterium saurashtrense,0.0055774653138795,1,0.0055774653138795
Kocuria palustris,0.0055378627171794,1,0.0055378627171794
Pseudomonas sp. JY-Q,0.0055185678599104,1,0.0055185678599104
Shewanella sp. ANA-3,0.0054817764640774,1,0.0054817764640774
