host_id,nmdc_biosample_id,metagenome_accession,metabolomics_id,soil_pH,soil_NH4,soil_NO3,soil_total_C,soil_total_N,keep_for_analysis,notes,gold_project_id,metabolomics_present,metabolomics_run_count,cohort_status,soil_match,metagenomics_match,biosample_id_norm
GW-4579-CL1_25_23,nmdc:bsm-11-wj8zqj74,SRX21791427,nmdc:dgms-12-61mfp146;nmdc:dgms-12-83v79x47;nmdc:dgms-12-q4rkq248;nmdc:dgms-12-qamt3f83,5.63,15.59,21.7185,4.409,0.318,yes,from_supp_table1,Gp0566842,yes,4,ready,yes,yes,nmdc_bsm-11-wj8zqj74
BESC-904-CL2_57_20,nmdc:bsm-11-nvgcpg87,SRX21791428,nmdc:dgms-12-ekn2px03;nmdc:dgms-12-rshs7j08;nmdc:dgms-12-ercat453;nmdc:dgms-12-78kkw397,5.05,14.706,15.503,7.437,0.546,yes,from_supp_table1,Gp0566833,yes,4,ready,yes,yes,nmdc_bsm-11-nvgcpg87
BESC-56-Co1_22_4,nmdc:bsm-11-90vp2x95,SRX21791429,nmdc:dgms-12-qc9yv426;nmdc:dgms-12-7drgf177;nmdc:dgms-12-xh28w552;nmdc:dgms-12-xyy0p307,,,nan,,,yes,from_supp_table1,Gp0566807,yes,4,ready,yes,yes,nmdc_bsm-11-90vp2x95
BESC-388-Co3_8_57,nmdc:bsm-11-4htstp40,SRX21791430,nmdc:dgms-12-bmc8cx51;nmdc:dgms-12-8xhkk393;nmdc:dgms-12-6x8r8e02;nmdc:dgms-12-wjs4ey83,6.76,4.193,<0.20,2.971,0.195,yes,from_supp_table1,Gp0566803,yes,4,ready,yes,yes,nmdc_bsm-11-4htstp40
BESC-448-CL1_35_3,nmdc:bsm-11-spzb5g89,SRX21791431,nmdc:dgms-12-kcx1eb23;nmdc:dgms-12-ae8qxt55;nmdc:dgms-12-3pgx1e16;nmdc:dgms-12-jphr1s64,5.03,14.099,5.7905,8.654,0.619,yes,from_supp_table1,Gp0566804,yes,4,ready,yes,yes,nmdc_bsm-11-spzb5g89
GW-4579-Co2_44_8,nmdc:bsm-11-6pr72x09,SRX21791432,nmdc:dgms-12-1yn28y98;nmdc:dgms-12-d49jr802;nmdc:dgms-12-01ssjv33;nmdc:dgms-12-ngxzqk35,6.37,3.9165,2.0535,2.369,0.374,yes,from_supp_table1,Gp0566845,yes,4,ready,yes,yes,nmdc_bsm-11-6pr72x09
BESC-86-CL2_69_17,nmdc:bsm-11-7bbm7795,SRX21791433,nmdc:dgms-12-nhgse529;nmdc:dgms-12-dphg2k88;nmdc:dgms-12-m1xn4g66;nmdc:dgms-12-s2mc1z32,6.76,2.5755,0.407,1.52,0.416,yes,from_supp_table1,Gp0566827,yes,4,ready,yes,yes,nmdc_bsm-11-7bbm7795
GW-11047-CL1_23_5,nmdc:bsm-11-wdfz5578,SRX21791435,nmdc:dgms-12-scdw9087;nmdc:dgms-12-701ama19;nmdc:dgms-12-nt6pt131;nmdc:dgms-12-zw9rsp23,5.21,12.8545,13.422,6.191,0.408,yes,from_supp_table1,Gp0566840,yes,4,ready,yes,yes,nmdc_bsm-11-wdfz5578
BESC-56-Co3_6_53,nmdc:bsm-11-sqpv6146,SRX21791436,nmdc:dgms-12-225sk193;nmdc:dgms-12-rvza0004;nmdc:dgms-12-wejrqr56;nmdc:dgms-12-dqn81j32,,,nan,,,yes,from_supp_table1,Gp0566809,yes,4,ready,yes,yes,nmdc_bsm-11-sqpv6146
BESC-904-Co1_5_9,nmdc:bsm-11-cd09p052,SRX21791437,nmdc:dgms-12-y13bvv41;nmdc:dgms-12-k0t1sh70;nmdc:dgms-12-4hcsm896;nmdc:dgms-12-ffarqa55,6.7,3.517,1.3175,2.801,0.316,yes,from_supp_table1,Gp0566835,yes,4,ready,yes,yes,nmdc_bsm-11-cd09p052
