feature,feature_type,n_metabolites,mean_importance,max_importance,mean_cv_r2
Corynebacterium diphtheriae,mg,1,0.005863995756953955,0.005863995756953955,0.4382750010141011
Cloacibacterium normanense,mg,1,0.005784654524177313,0.005784654524177313,0.4382750010141011
Exiguobacterium sp. MH3,mg,1,0.005520198028534651,0.005520198028534651,0.4382750010141011
Pseudomonas sp. A214,mg,1,0.005416641477495432,0.005416641477495432,0.4422310812494176
Bacillus megaterium,mg,1,0.005293853115290403,0.005293853115290403,0.4382750010141011
Phenylobacterium zucineum,mg,1,0.0052208006381988525,0.0052208006381988525,0.4382750010141011
Streptomyces phage Nanodon,mg,1,0.005215222481638193,0.005215222481638193,0.630536037972228
Streptomyces bingchenggensis,mg,1,0.005199711304157972,0.005199711304157972,0.4382750010141011
Lactobacillus fermentum,mg,1,0.005094091407954693,0.005094091407954693,0.630536037972228
Burkholderia cepacia,mg,1,0.004213972948491573,0.004213972948491573,0.630536037972228
Helicobacter pylori,mg,1,0.003936273977160454,0.003936273977160454,0.630536037972228
Paraburkholderia caffeinilytica,mg,1,0.0037722585257142782,0.0037722585257142782,0.630536037972228
Sphingomonas indica,mg,1,0.0033994277473539114,0.0033994277473539114,0.630536037972228
Cylindrospermum stagnale,mg,1,0.00337703013792634,0.00337703013792634,0.630536037972228
Burkholderia sp. MSMB0266,mg,1,0.003282826393842697,0.003282826393842697,0.630536037972228
