config_id,model,mi_k,reduction,n_components,w_mg,mean_r2,median_r2,std_r2,min_r2,max_r2,mean_rmse,mean_mae,n_metabolites
C020,rf_strong,800,sparsepca,50,0.8,0.3853246516285823,0.3529693385932206,0.09385383096346779,0.2846433376143056,0.6834751213533543,4.272738439588914,3.3170099224868492,30
C022,rf_strong,800,sparsepca,75,0.7,0.3852437705127476,0.348996998112799,0.09513408854679925,0.2869020526324388,0.6857423296529754,4.279016958842984,3.3567277285986186,30
C021,rf_strong,800,sparsepca,75,0.6,0.38515583755948685,0.34629046733942614,0.09497156702390379,0.2780401359879164,0.6838672840209286,4.279429325494359,3.3707053954165063,30
C028,rf_strong,1000,sparsepca,50,0.7,0.3851341791514408,0.3493218595006249,0.09297779556958079,0.2941327262548618,0.6855007133846206,4.275941004104853,3.3411380496843126,30
C031,rf_strong,1000,sparsepca,75,0.7,0.385069030805992,0.3485390408680695,0.09286154551886498,0.2870499813687903,0.6714572024490217,4.277213637540395,3.359590041266226,30
C030,rf_strong,1000,sparsepca,75,0.6,0.38501452242684636,0.347301534593597,0.09295001573144349,0.2784422384773708,0.6720079378158976,4.277928422993844,3.37296255792046,30
C050,et_strong,800,sparsepca,100,0.7,0.3848422830970452,0.3453177130044416,0.09149442218752836,0.2832357409617788,0.6802977092312238,4.276720249564045,3.3512528805866793,30
C048,et_strong,800,sparsepca,75,0.7,0.38480855485209464,0.3475633230856065,0.09232443168859894,0.2859562802266036,0.6800090484335183,4.279089849537908,3.3562975155768284,30
C047,et_regularized,500,sparsepca,100,0.7,0.3847483155630209,0.34781263780383986,0.09308081288897971,0.2772906620478097,0.6683608918509163,4.28069088462829,3.2783343859804286,30
C008,rf_strong,300,sparsepca,100,0.8,0.38448764081008696,0.34968506333316407,0.09998528734764359,0.2705174734978816,0.6901906713169625,4.2791169371866555,3.2841425739735692,30
C035,rf_strong,1000,sparsepca,100,0.8,0.38423105980642586,0.35555046700353143,0.09224979009577151,0.2812157055950803,0.6712100881904525,4.279725333898753,3.3477387939980674,30
C026,rf_strong,800,sparsepca,100,0.8,0.3838594320316491,0.35416743352944813,0.09244102965122947,0.2862114155110047,0.680859604331568,4.279928855674373,3.3368564753271253,30
C011,rf_strong,500,sparsepca,50,0.8,0.3838318928520548,0.350232779871522,0.0929979701546317,0.2773791671035714,0.6782186196471638,4.282484892934158,3.3039994333889044,30
C040,rf_regularized,800,sparsepca,75,0.7,0.3836320581649183,0.3515404581495109,0.09724901658049807,0.2760919735743385,0.6715044960479909,4.2852986445038885,3.323193770801212,30
C049,et_regularized,800,sparsepca,75,0.7,0.3830025116196772,0.35160536850412827,0.0951171012779335,0.2834328234897013,0.6714161331326136,4.286173793217775,3.312363894667798,30
C043,rf_regularized,800,sparsepca,100,0.8,0.38294114522297484,0.3571116943092172,0.0938670082676203,0.2775269805633501,0.6613960805850116,4.283895943952479,3.301620882321054,30
C023,rf_strong,800,sparsepca,75,0.8,0.3819914159650978,0.34869851756911885,0.09593240452328497,0.2860146764472669,0.6839311852790426,4.290230002467518,3.3430094749723818,30
C032,rf_strong,1000,sparsepca,75,0.8,0.3817804310979388,0.350571134679404,0.09346229911492666,0.2860818426490416,0.6670919275624277,4.2881047086516135,3.346584715767277,30
C029,rf_strong,1000,sparsepca,50,0.8,0.38139611968614057,0.350287908314616,0.09385704885145787,0.286193381379167,0.6836997933441809,4.2882068842538,3.3254431283054484,30
C041,rf_regularized,800,sparsepca,75,0.8,0.3799084865748349,0.35128216226802594,0.09865783795582832,0.2734915845797913,0.6713902777598464,4.2978861920124105,3.3053383896070083,30
C056,xgb_light,800,sparsepca,50,0.7,0.3666148643639472,0.3473568831241429,0.10611740218599244,0.1892895267574488,0.6519654824753274,4.33128899462963,3.2486238634813653,30
C054,xgb_light,500,sparsepca,75,0.7,0.3665852572867677,0.3371211331957182,0.10563981886173389,0.239508901379446,0.6639605000798035,4.338505485087839,3.227193288674778,30
C058,xgb_light,800,sparsepca,75,0.7,0.3643338361348048,0.34011241072372467,0.10550594409659017,0.1825963868088905,0.6385311827683432,4.354708162243382,3.2634060184739386,30
C055,xgb_medium,500,sparsepca,75,0.7,0.36275213576075255,0.34030727803078403,0.10642439659776814,0.2280394032449347,0.6631158639876586,4.350722247671347,3.221206088606343,30
C057,xgb_medium,800,sparsepca,50,0.7,0.3574704844579006,0.3253285771184487,0.11034499166548789,0.1839054136658428,0.6487706064058141,4.364417041784179,3.256445378398911,30
C059,xgb_medium,800,sparsepca,75,0.7,0.3558892460383388,0.3318400333932968,0.11021635970539514,0.1699720465176677,0.641276748250377,4.382777113998739,3.2663676918428264,30
C052,xgb_light,500,sparsepca,50,0.7,0.35266989272842847,0.3191046147880216,0.10370987501868334,0.2177347016039622,0.6472285235173725,4.391229122898783,3.2740745387897574,30
C053,xgb_medium,500,sparsepca,50,0.7,0.3496819182173712,0.31291881032570024,0.10540943330002231,0.1963676102920643,0.6264905468306758,4.404699619495373,3.266455013905358,30
C062,rf_strong,800,svd,75,0.7,0.3012468822776993,0.27992504624224074,0.0714473659175376,0.2250246761180824,0.5548472000713612,4.56769105094036,4.036505520479567,30
C060,rf_strong,500,svd,75,0.7,0.2930523344963446,0.2657724184153267,0.07180517313047502,0.2226405365406472,0.5393640399822521,4.597262938423932,4.1135457045738795,30
C063,rf_strong,800,svd,100,0.7,0.28962581335910714,0.26511229674922543,0.07369018203158822,0.2005857947409117,0.5510198660293577,4.604859316681501,4.101895068724407,30
C061,rf_strong,500,svd,100,0.7,0.28580616567714434,0.2596802331704474,0.07252315636729306,0.2169961981928937,0.5358719043403587,4.620003891830772,4.1678861174767885,30
